trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",25,6,-39.11011478327963,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.998}",25,0,-95.93756606510239,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.997}",35,0,-201.29296600091016,"{0: 18, 1: 2, 2: 13, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-137.2026079582323,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995}",35,0,-308.3605370754467,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-103.04018111453856,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-129.59004227996653,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-39.30748274503801,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,0,-76.69276801254355,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.99}",30,0,-244.4284487498761,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.989}",35,0,-158.55551342968965,"{0: 22, 1: 1, 2: 9, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-67.38464819371788,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-150.21262607464556,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,0,-53.01657581686476,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-79.59714733242048,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",25,0,-177.9431347176486,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-48.55664961472446,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",35,22,-47.357657497814365,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.981}",25,0,-221.47951347150834,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-129.60040797429758,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.979}",25,0,-186.06780221573655,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.978}",25,0,-255.11477488123035,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.977}",25,15,-66.95177461276265,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-251.81634060083965,"{0: 11, 1: 0, 2: 9, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.975}",30,0,-70.91266215095905,"{0: 20, 1: 6, 2: 2, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.974}",30,0,-89.58693243378458,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.973}",20,0,-144.84413131269682,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
