trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-85.1787999668263,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,3,-250.31292938055188,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 5}",1
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-70.2018509830995,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-119.87043096873346,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,0,-121.70301907471526,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-200.66949283460056,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-94.93130022275473,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-51.847361372589006,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,5,-55.9692621378658,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-180.92204393150323,"{0: 14, 1: 4, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-129.92962820650797,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-78.69379706446055,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-142.19354749747663,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-48.70968271641325,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-129.77158597348205,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-86.94429313321803,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-85.62714216291756,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-31.827155500178584,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,0,-194.39947864879127,"{0: 19, 1: 3, 2: 2, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-91.49605243343574,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-169.98823317675757,"{0: 10, 1: 2, 2: 11, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-100.01894336930809,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-107.62798706563983,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-81.40399419182278,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-169.73008840883566,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-165.71696794102232,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-64.94917673807947,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-78.07635720173688,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-92.03834983042583,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-30.238433324991465,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
